Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","46","Congo","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","51","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","48","Costa Rica","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","115","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","84","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","48","S","Données standardisées"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","98","Croatie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","29","S","Données standardisées"
"FBS","Bilans Alimentaires","98","Croatie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","98","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","30","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","49","Cuba","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","32","S","Données standardisées"
"FBS","Bilans Alimentaires","49","Cuba","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","195","S","Données standardisées"
"FBS","Bilans Alimentaires","49","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","54","Danemark","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","172","S","Données standardisées"
"FBS","Bilans Alimentaires","54","Danemark","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","101","S","Données standardisées"
"FBS","Bilans Alimentaires","54","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","72","Djibouti","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","72","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","55","Dominique","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","55","Dominique","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","55","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","131","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","59","Égypte","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1060","S","Données standardisées"
"FBS","Bilans Alimentaires","59","Égypte","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","125","S","Données standardisées"
"FBS","Bilans Alimentaires","59","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","56","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","60","El Salvador","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","114","S","Données standardisées"
"FBS","Bilans Alimentaires","60","El Salvador","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","60","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","45","S","Données standardisées"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","375","S","Données standardisées"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","138","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","58","Équateur","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","342","S","Données standardisées"
"FBS","Bilans Alimentaires","58","Équateur","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","58","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","203","Espagne","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1329","S","Données standardisées"
"FBS","Bilans Alimentaires","203","Espagne","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","171","S","Données standardisées"
"FBS","Bilans Alimentaires","203","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","63","Estonie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","63","Estonie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","20","S","Données standardisées"
"FBS","Bilans Alimentaires","63","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","20085","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","101","S","Données standardisées"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","197","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","238","Éthiopie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","62","S","Données standardisées"
"FBS","Bilans Alimentaires","238","Éthiopie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","238","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","2","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","185","Fédération de Russie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","3457","S","Données standardisées"
"FBS","Bilans Alimentaires","185","Fédération de Russie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","530","S","Données standardisées"
"FBS","Bilans Alimentaires","185","Fédération de Russie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","66","Fidji","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","18","S","Données standardisées"
